,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
112,"Holiday Inn Express Munich City West, an IHG Hotel",8.1,"Neuhausen - Nymphenburg, Munich",Very Good ,"4,916 reviews",Price 435 zł,4.2 km from center,Standard Double or Twin Room,3,Breakfast included,
113,Europäischer Hof,8.1,"Ludwigsvorstadt, Munich",Very Good ,"2,647 reviews",Price 418 zł,1.2 km from center,Standard Single Room,3,,
114,Hilton Munich Park,7.4,"Schwabing-Freimann, Munich",Good ,"3,127 reviews",Price 662 zł,2.4 km from center,Queen Room,4,,
115,AMERON München Motorworld,8.9,"Schwabing-Freimann, Munich",Excellent ,"1,078 reviews",Price 610 zł,6.9 km from center,Standard Double Room,4,,
116,Hotel Concorde,8.0,"Altstadt - Lehel, Munich",Very Good ,"2,446 reviews",Price 633 zł,0.5 km from center,Standard Single Room,4,Breakfast included,Location 9.5
117,Wombat's City Hostel Munich Werksviertel,8.3,"Berg am Laim, Munich",Very Good ,"1,481 reviews",Original price 183 zł. Current price 147 zł.,2.6 km from center,Bed in 8-Bed Mixed Dormitory Room,0,,
118,B&B Hotel München City-West,7.5,"Sendling - Westpark, Munich",Good ,"2,614 reviews",Price 310 zł,3.9 km from center,Double Room,2,,
119,B&B Hotel München-Trudering,7.9,"Trudering - Riem, Munich",Good ,"3,133 reviews",Price 319 zł,6.6 km from center,Double Room,3,,
120,Le Méridien Munich,7.6,"Ludwigsvorstadt, Munich",Good ,949 reviews,Price 755 zł,1.3 km from center,Superior Queen Room,5,,
121,Moxy Munich Ostbahnhof,8.4,"Berg am Laim, Munich",Very Good ,"1,648 reviews",Price 355 zł,3 km from center,Queen Room,3,,
122,Happy End Hotel,4.0,"Ludwigsvorstadt, Munich",Review score ,149 reviews,Price 418 zł,1.5 km from center,Standard Single Room,0,,
123,MOMA1890 Boutique Hotel,8.9,"Au-Haidhausen, Munich",Excellent ,268 reviews,"Original price 1,373 zł. Current price 769 zł.",2.3 km from center,Cozy Single Room,4,,
124,Hotel Uhland,8.0,"Ludwigsvorstadt, Munich",Very Good ,"1,097 reviews",Price 380 zł,1.6 km from center,Single Room,0,Breakfast included,
125,Hotel Stachus,7.6,"Ludwigsvorstadt, Munich",Good ,"3,812 reviews",Price 373 zł,0.9 km from center,Economy Single Room,3,,
126,Villa am Schlosspark,8.6,"Pasing - Obermenzing, Munich",Excellent ,196 reviews,Price 516 zł,7.6 km from center,Single Room,3,,
127,Aparthotel Adagio access München City Olympiapark,7.9,"Milbertshofen - Am Hart, Munich",Good ,"1,968 reviews",Price 300 zł,6.1 km from center,Twin Studio,3,,
128,Hotel Daniel,6.8,"Altstadt - Lehel, Munich",Review score ,"1,377 reviews",Price 448 zł,0.8 km from center,Single Room,3,,
129,gambino hotel CINCINNATI,8.5,"Obergiesing - Fasangarten, Munich",Very Good ,"4,396 reviews",Price 265 zł,5.4 km from center,Budget Single Room,3,,
130,Best Western Hotel Arabellapark Muenchen,8.7,"Bogenhausen, Munich",Excellent ,"1,605 reviews",Price 394 zł,3.6 km from center,Classic Queen Room (Bed 4.6 ft x 6.9 ft),3,,
131,Buddy Hotel,7.9,"Ludwigsvorstadt, Munich",Good ,"2,067 reviews",Price 446 zł,0.8 km from center,Single Room (33 ft²),3,,Location 9.3
132,King's Hotel Center Superior,8.7,"Maxvorstadt, Munich",Excellent ,"1,679 reviews",Original price 486 zł. Current price 414 zł.,1.4 km from center,Single Room,3,,
133,Hotel Deutsches Theater,6.8,"Ludwigsvorstadt, Munich",Review score ,775 reviews,Price 450 zł,1 km from center,Single Room,3,,
134,NH München Ost Conference Center,8.1,Munich,Very Good ,"2,600 reviews",Price 334 zł,8.3 km from center,Standard Double or Twin Room with Extra bed (2 Adults + 1 Child),4,,
135,Centro Hotel Mondial,7.1,"Ludwigsvorstadt, Munich",Good ,810 reviews,Price 310 zł,0.9 km from center,Standard Single Room,3,,
136,Smart Stay Hotel Station,7.0,"Ludwigsvorstadt, Munich",Good ,"2,412 reviews",Price 418 zł,1 km from center,Single Room,2,,
137,Hotel Giesing,7.5,"Ramersdorf - Perlach, Munich",Good ,852 reviews,Price 202 zł,4.6 km from center,Single Room with Shared Toilet,0,,
138,Campanile Muenchen Sendling,8.0,"Sendling, Munich",Very Good ,"1,308 reviews",Price 275 zł,4.5 km from center,Double Room,0,,
139,Hotel Fidelio,7.7,"Ludwigsvorstadt, Munich",Good ,"2,124 reviews",Price 563 zł,1.7 km from center,Deluxe Double Room,3,,
140,Hotel MIO by AMANO,8.5,"Altstadt - Lehel, Munich",Very Good ,"4,184 reviews",Price 560 zł,0.6 km from center,Double Room,3,,Location 9.7
141,Four Points by Sheraton Munich Arabellapark,7.4,"Bogenhausen, Munich",Good ,"2,377 reviews",Price 460 zł,3.5 km from center,Superior King Room,4,,
142,Maritim Hotel München,7.7,"Ludwigsvorstadt, Munich",Good ,"4,859 reviews",Price 545 zł,1.3 km from center,Standard Family Room,4,,
143,Hotel Deutsche Eiche,8.7,"Ludwigsvorstadt, Munich",Excellent ,"1,148 reviews",Price 488 zł,0.5 km from center,Single Room,3,,Location 9.7
144,25hours Hotel The Royal Bavarian,8.5,"Ludwigsvorstadt, Munich",Very Good ,"1,875 reviews",Price 634 zł,1.1 km from center,Medium,4,,
145,B&B Hotel München-Olympiapark,7.9,"Moosach, Munich",Good ,"3,889 reviews",Price 357 zł,5.8 km from center,Standard Double Room,3,,
146,Cocoon Hauptbahnhof,8.6,"Ludwigsvorstadt, Munich",Excellent ,"3,845 reviews",Price 401 zł,1.3 km from center,Double Room - Single Use (Cozy Alm),3,,
147,Arthotel ANA Diva,8.2,"Maxvorstadt, Munich",Very Good ,"3,290 reviews",Price 394 zł,1.9 km from center,Standard Double Room,4,,
148,"Holiday Inn Munich City Centre, an IHG Hotel",8.1,"Au-Haidhausen, Munich",Very Good ,"5,557 reviews",Price 516 zł,1.3 km from center,Standard Room,4,,
149,Moxy Munich Ostbahnhof,8.4,"Berg am Laim, Munich",Very Good ,"1,648 reviews",Price 355 zł,3 km from center,Queen Room,3,,
150,AMERON München Motorworld,8.9,"Schwabing-Freimann, Munich",Excellent ,"1,078 reviews",Price 610 zł,6.9 km from center,Standard Double Room,4,,
151,Hotel Bayerischer Hof,8.0,"Altstadt - Lehel, Munich",Very Good ,"1,507 reviews","Price 1,783 zł",400 m from center,Deluxe Single Room,5,,Location 9.6
152,Hotel Thalmair,8.5,"Hadern, Munich",Very Good ,990 reviews,Price 385 zł,7.6 km from center,Standard Single Room,3,,
153,Marc München,8.7,"Ludwigsvorstadt, Munich",Excellent ,933 reviews,Price 633 zł,1.2 km from center,Superior Single Room,4,,
154,domus Hotel,8.1,"Altstadt - Lehel, Munich",Very Good ,384 reviews,Price 704 zł,0.9 km from center,Single Room,0,Breakfast included,
155,Vier Jahreszeiten Kempinski München,8.4,"Altstadt - Lehel, Munich",Very Good ,"1,607 reviews","Price 1,994 zł",500 m from center,Superior Double Room,5,,Location 9.7
156,Hotel Biederstein am Englischen Garten,8.6,"Schwabing-Freimann, Munich",Excellent ,401 reviews,Price 610 zł,3.1 km from center,Single Room,3,Breakfast included,Location 9.5
157,Flemings Hotel München-City,8.2,"Ludwigsvorstadt, Munich",Very Good ,"2,226 reviews",Price 590 zł,1.4 km from center,Superior Double Room,4,,
158,ACHAT Hotel München Süd,7.9,"Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln, Munich",Good ,"1,776 reviews",Price 314 zł,6.5 km from center,Business Single Room,4,,
159,The Dot | 24/7 Checkin,7.6,"Sendling - Westpark, Munich",Good ,331 reviews,Price 206 zł,4.1 km from center,Single Room with Shared Bathroom,0,,
160,a&o München Hackerbrücke,5.5,"Neuhausen - Nymphenburg, Munich",Review score ,"4,304 reviews",Price 99 zł,2.7 km from center,Bed in 8-Bed Dormitory Room,2,,
161,Hotel Aurbacher Hof GmbH,7.8,"Au-Haidhausen, Munich",Good ,"1,188 reviews",Price 418 zł,1.9 km from center,Single Room,3,,
162,H2 Hotel München Messe,8.1,"Trudering - Riem, Munich",Very Good ,"3,177 reviews",Price 454 zł,8.5 km from center,Comfort Double Room,3,Breakfast included,
163,Courtyard by Marriott Munich City East,7.6,"Au-Haidhausen, Munich",Good ,965 reviews,Price 545 zł,2.5 km from center,"Quality room, Guest room, 1 King ",4,,
164,Hotel Südstern,8.3,"Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln, Munich",Very Good ,928 reviews,Price 371 zł,7.1 km from center,Single Room,0,,
165,Living Hotel Das Viktualienmarkt,8.0,"Altstadt - Lehel, Munich",Very Good ,"1,717 reviews",Price 938 zł,300 m from center,Business Single Room,4,,Location 9.8
166,Hotel am Viktualienmarkt,7.8,"Altstadt - Lehel, Munich",Good ,966 reviews,Price 563 zł,400 m from center,Double Room,3,Breakfast included,Location 9.6
167,Abasto Hotel München Feldmoching,8.3,"Feldmoching - Hasenbergl, Munich",Very Good ,"2,087 reviews",Original price 432 zł. Current price 345 zł.,8.9 km from center,Double Room,3,,
168,Hotel Senator München,7.7,"Ludwigsvorstadt, Munich",Good ,"2,646 reviews",Price 450 zł,1.9 km from center,Single Room,3,Breakfast included,
169,Hyperion Hotel München,8.5,"Bogenhausen, Munich",Very Good ,"4,920 reviews",Price 614 zł,3.5 km from center,Comfort Room,5,,
