,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
102,"Hotel Indigo Edinburgh, an IHG Hotel",8.3,"New Town, Edinburgh",Very Good ,"1,189 reviews",Price 648 zł,0.9 km from center,Standard Double Room,4,,Location 9.3
103,Corstorphine Lodge Hotel,7.2,"Corstorphine, Edinburgh",Good ,"1,001 reviews",Price 345 zł,6 km from center,Business Double Room,3,,
104,No32 Hotel,8.3,"West End, Edinburgh",Very Good ,502 reviews,Price 706 zł,1.8 km from center,Double Room,3,,
105,KM Apartments,8.3,"Newington, Edinburgh",Very Good ,625 reviews,Original price 533 zł. Current price 498 zł.,0.7 km from center,Compact Studio,3,,
106,Cumberland Hotel,7.6,"Haymarket, Edinburgh",Good ,"1,520 reviews",Price 470 zł,2.2 km from center,Deluxe Single Room,3,,
107,Malmaison Edinburgh City,8.5,"New Town, Edinburgh",Very Good ,"1,995 reviews",Price 757 zł,0.7 km from center,Cozy Double,4,,Location 9.7
108,Royal Scots Club,8.8,"New Town, Edinburgh",Excellent ,451 reviews,Price 730 zł,0.9 km from center,Standard Double Room - Lower Ground Floor,3,,Location 9.4
109,Nira Caledonia,8.3,"New Town, Edinburgh",Very Good ,497 reviews,Original price 686 zł. Current price 642 zł.,1.3 km from center,Wee Single,4,,
110,Hampton Hotel by Greene King Inns,8.1,"Murrayfield, Edinburgh",Very Good ,400 reviews,Price 270 zł,3.1 km from center,Double Room,0,,
111,Leith House,6.8,"Leith, Edinburgh",Review score ,622 reviews,Original price 212 zł. Current price 199 zł.,2.1 km from center,Single Room,3,,
112,28 York Place Hotel,8.7,"New Town, Edinburgh",Excellent ,565 reviews,Price 382 zł,0.9 km from center,Standard Double or Twin Room,3,,Location 9.6
113,Stewart by Heeton Concept - Aparthotel Edinburgh,8.4,"New Town, Edinburgh",Very Good ,"1,354 reviews",Price 735 zł,0.9 km from center,Standard Apartment,4,,Location 9.4
114,The Residence - 47 Minto St,7.6,"Newington, Edinburgh",Good ,145 reviews,Original price 245 zł. Current price 229 zł.,1.6 km from center,Small Single Room,0,,
115,Ten Hill Place,8.9,"Newington, Edinburgh",Excellent ,"2,030 reviews",Price 632 zł,0.6 km from center,Loft Double Room,4,,
116,Edinburgh Castle Apartments,8.5,"New Town, Edinburgh",Very Good ,"1,467 reviews","Original price 1,265 zł. Current price 1,183 zł.",0.8 km from center,Cozy Studio,4,,Location 9.6
117,Prestonfield House,9.2,"Newington, Edinburgh",Wonderful ,147 reviews,"Original price 2,179 zł. Current price 2,037 zł.",2.2 km from center,Luxury Room,5,Breakfast included,Location 9.4
118,The Rutland Hotel & Apartments,9.1,"New Town, Edinburgh",Wonderful ,"1,334 reviews",Original price 897 zł. Current price 587 zł.,0.9 km from center,Double Room,4,,Location 9.8
119,The Lane Hotel,9.3,"Morningside, Edinburgh",Wonderful ,892 reviews,Price 735 zł,2.5 km from center,Deluxe King Room,0,,
120,Le Monde Hotel,8.6,"New Town, Edinburgh",Excellent ,729 reviews,Price 858 zł,0.6 km from center,Superior Double Room,4,,Location 9.6
121,Peggyslea Farm B&B,9.7,Edinburgh,Exceptional ,424 reviews,Original price 485 zł. Current price 454 zł.,18.2 km from center,Classic Triple Room,4,,Location 9.6
122,Hotel Du Vin Edinburgh,8.8,"Old Town, Edinburgh",Excellent ,"1,471 reviews",Original price 746 zł. Current price 698 zł.,300 m from center, Classic Double,4,,Location 9.4
123,Northumberland Hotel,6.4,"Newington, Edinburgh",Review score ,140 reviews,Original price 465 zł. Current price 435 zł.,2.7 km from center,Family Room (3 Adults),3,,
124,Leonardo Royal Hotel Edinburgh - Formerly Jurys Inn,7.8,"Old Town, Edinburgh",Good ,"8,220 reviews",Price 579 zł,0.6 km from center,Partner offer option,4,,
