,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
89,"Pestana Porto - A Brasileira, City Center & Heritage Building",8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,302 reviews",Price 713 zł,300 m from center,Deluxe Double or Twin Room,5,,Location 9.6
90,Guest House Porto Clerigus,6.9,"União de Freguesias do Centro, Porto",Review score ,"1,160 reviews",Price 267 zł,400 m from center,Single Room with Shared Bathroom,0,Breakfast included,
91,Ribeira do Porto Hotel,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,462 reviews",Price 427 zł,1 km from center,Twin Room,3,,Location 9.7
92,Exmo Hotel by Olivia,9.4,"União de Freguesias do Centro, Porto",Wonderful ,583 reviews,Price 619 zł,1 km from center,Cozy City View,4,Breakfast included,Location 9.8
93,Eurostars Oporto,8.8,"Paranhos, Porto",Excellent ,"1,223 reviews",Price 333 zł,4 km from center,Double or Twin Room with Balcony + Parking,4,,
94,Porto A.S. 1829 Hotel,8.8,"União de Freguesias do Centro, Porto",Excellent ,"2,071 reviews",Original price 669 zł. Current price 537 zł.,0.8 km from center,Small Double or Twin Room,4,,Location 9.7
95,MyStay Porto Bolhão,8.0,"União de Freguesias do Centro, Porto",Very Good ,"1,510 reviews",Price 305 zł,0.6 km from center,Interior twin room,4,,
96,Monte Sinai Guest House,7.1,"União de Freguesias do Centro, Porto",Good ,"1,170 reviews",Price 134 zł,0.9 km from center,Double Room,0,,
97,Fatima's House - Cedofeita,8.9,"União de Freguesias do Centro, Porto",Excellent ,268 reviews,Price 141 zł,1 km from center,Queen Room with Shared Bathroom,0,,
98,Formosa Oporto Apartments Group,7.2,"União de Freguesias do Centro, Porto",Good ,"1,024 reviews",Price 174 zł,150 m from center,Standard Double Room with Shared Bathroom,3,,
99,Menina Colina Guesthouse,9.3,"União de Freguesias do Centro, Porto",Wonderful ,309 reviews,Price 432 zł,0.9 km from center,Comfort Double Room,4,,Location 9.3
100,Formosa Oporto Apartments Group,7.2,"União de Freguesias do Centro, Porto",Good ,"1,024 reviews",Price 174 zł,150 m from center,Standard Double Room with Shared Bathroom,3,,
101,Menina Colina Guesthouse,9.3,"União de Freguesias do Centro, Porto",Wonderful ,309 reviews,Price 432 zł,0.9 km from center,Comfort Double Room,4,,Location 9.3
102,Down2Town B&B,8.2,"União de Freguesias do Centro, Porto",Very Good ,"1,367 reviews",Original price 452 zł. Current price 364 zł.,1 km from center,Double Room with Garden View,3,Breakfast included,
103,Mercure Porto Centro Aliados,9.1,"União de Freguesias do Centro, Porto",Wonderful ,"1,948 reviews",Price 548 zł,250 m from center,Classic Twin Room,4,,Location 9.8
104,Clérigos Ville Porto Rooms,8.3,"União de Freguesias do Centro, Porto",Very Good ,437 reviews,Price 291 zł,450 m from center,Double Room,3,,Location 9.4
105,Hotel Universal,7.6,"União de Freguesias do Centro, Porto",Good ,"1,935 reviews",Price 267 zł,250 m from center,Standard Double Room with City View,2,,Location 9.6
106,Hotel America,7.4,"Bonfim, Porto",Good ,"1,018 reviews",Price 221 zł,0.8 km from center,Standard Double Room,3,,
107,Rivoli Cinema Hostel,9.0,"União de Freguesias do Centro, Porto",Wonderful ,"2,551 reviews",Price 130 zł,250 m from center,Bed in 4-Bed Female Dormitory Room,0,Breakfast included,Location 9.8
108,Three Houses & Bedrooms,8.8,"Lordelo do Ouro e Massarelos, Porto",Excellent ,859 reviews,Price 291 zł,1.4 km from center,Double or Twin Room,3,,
109,OportoHouse,7.6,"União de Freguesias do Centro, Porto",Good ,"1,856 reviews",Price 308 zł,400 m from center,Superior Double or Twin Room,3,,
110,ibis Porto Centro São Bento,7.7,"União de Freguesias do Centro, Porto",Good ,"1,691 reviews",Price 299 zł,0.6 km from center,Standard Double Room,2,,
111,Hotel do Norte,7.1,"União de Freguesias do Centro, Porto",Good ,"2,566 reviews",Price 267 zł,400 m from center,Single Room,2,,Location 9.3
112,In Porto Gallery Guesthouse,9.1,"União de Freguesias do Centro, Porto",Wonderful ,406 reviews,Price 479 zł,100 m from center,Double Room with Balcony,4,Breakfast included,Location 9.6
113,Acta The Avenue,8.8,"Bonfim, Porto",Excellent ,"3,275 reviews",Price 298 zł,1.1 km from center,Standard Double Room,4,,
114,Hotel Estoril Porto,7.8,"União de Freguesias do Centro, Porto",Good ,"1,050 reviews",Price 347 zł,0.6 km from center,Double Room with Garden View,0,,
115,Pestana Vintage Porto Hotel & World Heritage Site,8.6,"União de Freguesias do Centro, Porto",Excellent ,"1,021 reviews",Price 981 zł,1 km from center,Classic Double or Twin Room,5,Breakfast included,Location 9.7
116,AL- Almada 4,6.8,"União de Freguesias do Centro, Porto",Review score ,250 reviews,Price 122 zł,150 m from center,Triple Room with Shared Bathroom,0,,
